index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
539,331,2017-02-04 08:00:00,1,Fort Greene/Brooklyn Heights,2.0,2.0,2017,2,4,8,0,2
1001,331,2017-02-04 12:00:00,1,Fort Greene/Brooklyn Heights,3.0,5.0,2017,2,4,12,0,2
1462,331,2017-02-04 16:00:00,1,Fort Greene/Brooklyn Heights,8.0,7.0,2017,2,4,16,0,2
1926,331,2017-02-04 20:00:00,1,Fort Greene/Brooklyn Heights,3.0,2.0,2017,2,4,20,0,2
2389,331,2017-02-05 00:00:00,1,Fort Greene/Brooklyn Heights,4.0,4.0,2017,2,5,0,0,2
2851,331,2017-02-05 04:00:00,1,Fort Greene/Brooklyn Heights,0.0,1.0,2017,2,5,4,0,2
3313,331,2017-02-05 08:00:00,1,Fort Greene/Brooklyn Heights,4.0,5.0,2017,2,5,8,0,2
4238,331,2017-02-05 16:00:00,1,Fort Greene/Brooklyn Heights,6.0,5.0,2017,2,5,16,0,2
5151,331,2017-02-06 00:00:00,1,Fort Greene/Brooklyn Heights,18.0,20.0,2017,2,6,0,0,2
6055,331,2017-02-06 08:00:00,1,Fort Greene/Brooklyn Heights,1654.0,2154.0,2017,2,6,8,0,2
6521,331,2017-02-06 12:00:00,1,Fort Greene/Brooklyn Heights,1025.0,1515.0,2017,2,6,12,0,2
6987,331,2017-02-06 16:00:00,1,Fort Greene/Brooklyn Heights,2325.0,1840.0,2017,2,6,16,0,2
7453,331,2017-02-06 20:00:00,1,Fort Greene/Brooklyn Heights,1446.0,1254.0,2017,2,6,20,0,2
7896,331,2017-02-07 00:00:00,1,Fort Greene/Brooklyn Heights,231.0,271.0,2017,2,7,0,0,2
8789,331,2017-02-07 08:00:00,1,Fort Greene/Brooklyn Heights,1813.0,2258.0,2017,2,7,8,0,2
9255,331,2017-02-07 12:00:00,1,Fort Greene/Brooklyn Heights,1057.0,1265.0,2017,2,7,12,0,2
9721,331,2017-02-07 16:00:00,1,Fort Greene/Brooklyn Heights,2051.0,1765.0,2017,2,7,16,0,2
10187,331,2017-02-07 20:00:00,1,Fort Greene/Brooklyn Heights,1436.0,1392.0,2017,2,7,20,0,2
10630,331,2017-02-08 00:00:00,1,Fort Greene/Brooklyn Heights,251.0,304.0,2017,2,8,0,0,2
11530,331,2017-02-08 08:00:00,1,Fort Greene/Brooklyn Heights,1709.0,2225.0,2017,2,8,8,0,2
