index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size,isCovid
92,230,2017-02-04 04:00:00,2,Morrisania/Crotona,139.0,35.0,2017,2,4,4,0,0,1
438,230,2017-02-04 08:00:00,2,Morrisania/Crotona,300.0,94.0,2017,2,4,8,0,0,1
900,230,2017-02-04 12:00:00,2,Morrisania/Crotona,397.0,139.0,2017,2,4,12,0,0,1
1361,230,2017-02-04 16:00:00,2,Morrisania/Crotona,330.0,156.0,2017,2,4,16,0,0,1
1825,230,2017-02-04 20:00:00,2,Morrisania/Crotona,205.0,155.0,2017,2,4,20,0,0,1
2288,230,2017-02-05 00:00:00,2,Morrisania/Crotona,90.0,73.0,2017,2,5,0,0,0,1
2752,230,2017-02-05 04:00:00,2,Morrisania/Crotona,70.0,28.0,2017,2,5,4,0,0,1
3212,230,2017-02-05 08:00:00,2,Morrisania/Crotona,212.0,45.0,2017,2,5,8,0,0,1
3676,230,2017-02-05 12:00:00,2,Morrisania/Crotona,285.0,96.0,2017,2,5,12,0,0,1
4137,230,2017-02-05 16:00:00,2,Morrisania/Crotona,261.0,140.0,2017,2,5,16,0,0,1
4601,230,2017-02-05 20:00:00,2,Morrisania/Crotona,212.0,123.0,2017,2,5,20,0,0,1
5053,230,2017-02-06 00:00:00,2,Morrisania/Crotona,5.0,20.0,2017,2,6,0,0,0,1
5501,230,2017-02-06 04:00:00,2,Morrisania/Crotona,521.0,87.0,2017,2,6,4,0,0,1
5954,230,2017-02-06 08:00:00,2,Morrisania/Crotona,972.0,181.0,2017,2,6,8,0,0,1
6420,230,2017-02-06 12:00:00,2,Morrisania/Crotona,608.0,199.0,2017,2,6,12,0,0,1
6886,230,2017-02-06 16:00:00,2,Morrisania/Crotona,489.0,340.0,2017,2,6,16,0,0,1
7352,230,2017-02-06 20:00:00,2,Morrisania/Crotona,322.0,291.0,2017,2,6,20,0,0,1
7802,230,2017-02-07 00:00:00,2,Morrisania/Crotona,8.0,6.0,2017,2,7,0,0,0,1
8237,230,2017-02-07 04:00:00,2,Morrisania/Crotona,535.0,91.0,2017,2,7,4,0,0,1
8688,230,2017-02-07 08:00:00,2,Morrisania/Crotona,977.0,180.0,2017,2,7,8,0,0,1
9154,230,2017-02-07 12:00:00,2,Morrisania/Crotona,621.0,187.0,2017,2,7,12,0,0,1
9620,230,2017-02-07 16:00:00,2,Morrisania/Crotona,471.0,340.0,2017,2,7,16,0,0,1
10086,230,2017-02-07 20:00:00,2,Morrisania/Crotona,259.0,305.0,2017,2,7,20,0,0,1
10977,230,2017-02-08 04:00:00,2,Morrisania/Crotona,546.0,92.0,2017,2,8,4,0,0,1
11429,230,2017-02-08 08:00:00,2,Morrisania/Crotona,996.0,182.0,2017,2,8,8,0,0,1
11895,230,2017-02-08 12:00:00,2,Morrisania/Crotona,536.0,124.0,2017,2,8,12,0,0,1
12361,230,2017-02-08 16:00:00,2,Morrisania/Crotona,470.0,314.0,2017,2,8,16,0,0,1
12827,230,2017-02-08 20:00:00,2,Morrisania/Crotona,355.0,316.0,2017,2,8,20,0,0,1
13289,230,2017-02-09 00:00:00,2,Morrisania/Crotona,27.0,62.0,2017,2,9,0,0,0,1
13746,230,2017-02-09 04:00:00,2,Morrisania/Crotona,313.0,48.0,2017,2,9,4,0,0,1
14208,230,2017-02-09 08:00:00,2,Morrisania/Crotona,467.0,64.0,2017,2,9,8,0,0,1
14674,230,2017-02-09 12:00:00,2,Morrisania/Crotona,244.0,97.0,2017,2,9,12,0,0,1
15140,230,2017-02-09 16:00:00,2,Morrisania/Crotona,228.0,157.0,2017,2,9,16,0,0,1
15606,230,2017-02-09 20:00:00,2,Morrisania/Crotona,150.0,116.0,2017,2,9,20,0,0,1
16488,230,2017-02-10 04:00:00,2,Morrisania/Crotona,513.0,84.0,2017,2,10,4,0,0,1
16940,230,2017-02-10 08:00:00,2,Morrisania/Crotona,948.0,174.0,2017,2,10,8,0,0,1
17406,230,2017-02-10 12:00:00,2,Morrisania/Crotona,600.0,199.0,2017,2,10,12,0,0,1
17872,230,2017-02-10 16:00:00,2,Morrisania/Crotona,499.0,321.0,2017,2,10,16,0,0,1
18338,230,2017-02-10 20:00:00,2,Morrisania/Crotona,332.0,218.0,2017,2,10,20,0,0,1
18804,230,2017-02-11 00:00:00,2,Morrisania/Crotona,66.0,86.0,2017,2,11,0,0,0,1
19266,230,2017-02-11 04:00:00,2,Morrisania/Crotona,118.0,42.0,2017,2,11,4,0,0,1
19729,230,2017-02-11 08:00:00,2,Morrisania/Crotona,315.0,83.0,2017,2,11,8,0,0,1
20192,230,2017-02-11 12:00:00,2,Morrisania/Crotona,409.0,135.0,2017,2,11,12,0,0,1
20654,230,2017-02-11 16:00:00,2,Morrisania/Crotona,347.0,133.0,2017,2,11,16,0,0,1
21119,230,2017-02-11 20:00:00,2,Morrisania/Crotona,229.0,151.0,2017,2,11,20,0,0,1
21581,230,2017-02-12 00:00:00,2,Morrisania/Crotona,101.0,70.0,2017,2,12,0,0,0,1
22045,230,2017-02-12 04:00:00,2,Morrisania/Crotona,73.0,36.0,2017,2,12,4,0,0,1
22508,230,2017-02-12 08:00:00,2,Morrisania/Crotona,204.0,46.0,2017,2,12,8,0,0,1
22968,230,2017-02-12 12:00:00,2,Morrisania/Crotona,264.0,76.0,2017,2,12,12,0,0,1
23431,230,2017-02-12 16:00:00,2,Morrisania/Crotona,203.0,127.0,2017,2,12,16,0,0,1
23891,230,2017-02-12 20:00:00,2,Morrisania/Crotona,152.0,128.0,2017,2,12,20,0,0,1
24780,230,2017-02-13 04:00:00,2,Morrisania/Crotona,503.0,88.0,2017,2,13,4,0,0,1
25234,230,2017-02-13 08:00:00,2,Morrisania/Crotona,912.0,186.0,2017,2,13,8,0,0,1
25700,230,2017-02-13 12:00:00,2,Morrisania/Crotona,595.0,178.0,2017,2,13,12,0,0,1
26166,230,2017-02-13 16:00:00,2,Morrisania/Crotona,508.0,326.0,2017,2,13,16,0,0,1
