城市,日期,最高温,最低温,天气,风力风向,空气质量指数
2017-01-01 周日,7°,4°,多云,西南偏南风2级
2017-01-02 周一,8°,2°,晴~多云,西北偏西风2级
2017-01-03 周二,5°,3°,中雨~小雨,东北偏东风2级
2017-01-04 周三,7°,5°,中雨~小雨,东北风3级
2017-01-05 周四,11°,-2°,多云~晴,西南偏西风3级
2017-01-06 周五,1°,-2°,多云~中雪,西南偏西风3级
2017-01-07 周六,1°,-6°,多云,西北风2级
2017-01-08 周日,-3°,-10°,中雪~小雪,北风2级
2017-01-09 周一,-3°,-11°,多云~晴,西北偏西风2级
2017-01-10 周二,-3°,-6°,多云~晴,西南风2级
2017-01-11 周三,2°,2°,多云~中雨,南风1级
2017-01-12 周四,10°,6°,多云~中雨,西南偏南风2级
2017-01-13 周五,16°,6°,多云,西南偏南风3级
2017-01-14 周六,8°,-2°,晴~多云,西北风2级
2017-01-15 周日,1°,-1°,中雪,东南风1级
2017-01-17 周二,6°,1°,晴~多云,西南偏西风1级
2017-01-18 周三,5°,3°,中雨,东南偏南风1级
2017-01-19 周四,6°,3°,雾~多云,北风2级
2017-01-20 周五,9°,2°,多云~晴,西北风2级
2017-01-21 周六,7°,4°,小雨~中雨,东南风1级
2017-01-22 周日,9°,6°,多云~阴,西南偏西风1级
2017-01-23 周一,8°,4°,小雨~中雨,东北偏东风2级
2017-01-24 周二,5°,1°,中雨,东北偏东风4级
2017-01-25 周三,4°,1°,雨夹雪~小雨,西北偏北风2级
2017-01-26 周四,8°,5°,晴~小雨,西风2级
2017-01-27 周五,13°,2°,小雨~晴,西南偏西风2级
2017-01-28 周六,6°,0°,多云~小雪,西风2级
2017-01-29 周日,3°,0°,多云,西南偏西风2级
2017-01-30 周一,6°,0°,多云,西南偏西风2级
2017-01-31 周二,2°,-3°,多云,西北风2级
2017-02-01 周三,1°,0°,中雪~雨夹雪,东南偏东风2级
2017-02-02 周四,8°,1°,多云,西风2级
2017-02-03 周五,7°,-4°,雨夹雪~晴,西风2级
2017-02-04 周六,0°,-5°,多云~晴,西风2级
2017-02-05 周日,1°,-2°,晴~多云,西风2级
2017-02-06 周一,5°,0°,小雨~晴,西风2级
2017-02-07 周二,9°,4°,晴~小雨,西风2级
2017-02-08 周三,5°,2°,中雨~小雨,东北风2级
2017-02-09 周四,16°,-1°,晴~中雪,西北偏西风2级
2017-02-10 周五,0°,-8°,中雪~多云,西北偏北风3级
2017-02-11 周六,0°,-3°,晴~中雪,西风2级
2017-02-12 周日,8°,1°,多云~小雨,西风1级
2017-02-13 周一,2°,0°,中雪~雨夹雪,东风2级
2017-02-14 周二,2°,-3°,阵雪~晴,西北风4级
2017-02-15 周三,4°,1°,晴~多云,西风2级
2017-02-16 周四,8°,0°,小雨~多云,西风1级
2017-02-17 周五,1°,-3°,多云~晴,西北偏西风3级
2017-02-18 周六,5°,1°,晴,西北偏西风2级
2017-02-19 周日,17°,9°,晴,西南偏西风2级
2017-02-20 周一,18°,6°,多云~晴,西北偏西风2级
2017-02-21 周二,12°,0°,晴,西北偏北风2级
2017-02-22 周三,8°,4°,多云,东南偏南风1级
2017-02-23 周四,13°,8°,小雨~多云,西南偏西风1级
2017-02-24 周五,18°,11°,多云~小雨,西南偏西风1级
